IDCliente;Nome;CPF;Sexo;Idade;Email;Telefone;Cidade;Estado
1;Murilo Correia;470.859.612-01;Masculino;33;vmonteiro@uol.com.br;21 2956 2007;Moura;BA
2;Vitor Costa;176.380.452-62;Feminino;57;kviana@hotmail.com;51 7127 7531;Aragão das Pedras;AM
3;Murilo Souza;587.921.340-41;Masculino;21;vieiramaria-julia@da.br;51 0514 3001;Gonçalves de Cardoso;PB
4;Julia Araújo;596.204.813-05;Masculino;27;vicenterocha@da.org;0900 040 3688;Correia da Prata;DF
5;Elisa Nunes;502.196.473-99;Masculino;59;marcos-vinicius72@yahoo.com.br;+55 81 8069-9745;Monteiro do Amparo;BA
6;Isabelly Martins;875.921.630-12;Feminino;20;vitor78@melo.com;81 6802-5975;Santos;MA
7;Samuel da Mota;365.289.410-33;Masculino;72;beniciomoreira@bol.com.br;+55 21 6136 6446;Vieira;PE
8;Camila Ferreira;813.290.546-60;Masculino;60;joao-lucas71@bol.com.br;+55 (071) 8828 9727;Almeida das Flores;PB
9;Diego Correia;146.372.905-70;Feminino;39;oda-conceicao@das.com;11 9985 4465;Viana;AL
10;André Silva;532.418.796-82;Masculino;21;fernandanunes@araujo.com;+55 (061) 7926-4340;Moura;CE
11;Sr. Henrique da Mota;620.491.785-49;Masculino;44;cardosodavi@hotmail.com;0900-232-9108;Nascimento do Sul;MA
12;Sabrina Lopes;156.743.892-09;Masculino;28;leticia10@duarte.com;+55 (061) 9682 1645;Fernandes;SP
13;Pedro Miguel Aragão;826.107.935-02;Feminino;57;duartemaria-luiza@hotmail.com;+55 31 2165-6749;Alves de Goiás;RO
14;João Guilherme Correia;605.913.748-20;Masculino;47;raragao@rodrigues.com;51 5186 5665;Lopes;MA
15;Joana da Paz;718.042.639-31;Feminino;20;silvaluana@uol.com.br;(021) 5481 5811;Lima dos Dourados;AC
16;Sra. Olivia Farias;315.284.670-35;Masculino;67;lpereira@ig.com.br;+55 61 1335 6504;da Luz;MS
17;Marcelo Gonçalves;459.681.273-09;Feminino;38;danilo41@gmail.com;+55 21 1070-5949;Porto;MT
18;Maria Eduarda da Conceição;651.972.840-30;Feminino;75;luigicampos@uol.com.br;(041) 4539 0555;Fogaça da Mata;ES
19;Valentina da Paz;104.952.763-16;Feminino;70;pedro-henriqueda-mota@hotmail.com;(011) 6261-3752;Vieira;AP
20;Sra. Melissa Dias;381.752.496-09;Masculino;66;brenda98@azevedo.com;(011) 1632 9630;Castro do Campo;AP
21;Marcelo Martins;693.824.105-89;Feminino;71;felipe53@castro.net;(081) 2125-1804;Barros;MS
22;Sr. Theo Barros;680.431.592-89;Masculino;36;vianaleticia@fernandes.br;84 2714-7426;Porto Paulista;SC
